livetime: 283.202 days rclean/rpi= 1.27141
Pi En= 2.7 Num Pi= 1985315 Pe En= 2.7 Num Pe= 6766584
Pi En= 2.8 Num Pi= 1313278 Pe En= 2.8 Num Pe= 5080833
Pi En= 2.9 Num Pi= 848449 Pe En= 2.9 Num Pe= 3679393
Pi En= 3 Num Pi= 546333 Pe En= 3 Num Pe= 2601355
Pi En= 3.1 Num Pi= 352922 Pe En= 3.1 Num Pe= 1812170
Pi En= 3.2 Num Pi= 228296 Pe En= 3.2 Num Pe= 1242089
Pi En= 3.3 Num Pi= 149128 Pe En= 3.3 Num Pe= 845947
Pi En= 3.4 Num Pi= 97467 Pe En= 3.4 Num Pe= 569216
Pi En= 3.5 Num Pi= 65575 Pe En= 3.5 Num Pe= 383298
Pi En= 3.6 Num Pi= 45089 Pe En= 3.6 Num Pe= 259052
Pi En= 3.7 Num Pi= 31989 Pe En= 3.7 Num Pe= 174708
Pi En= 3.8 Num Pi= 23505 Pe En= 3.8 Num Pe= 118744
Pi En= 3.9 Num Pi= 17854 Pe En= 3.9 Num Pe= 81781
Pi En= 4 Num Pi= 13944 Pe En= 4 Num Pe= 57247
Pi En= 4.1 Num Pi= 11124 Pe En= 4.1 Num Pe= 40372
Pi En= 4.2 Num Pi= 9152 Pe En= 4.2 Num Pe= 29012
Pi En= 4.3 Num Pi= 7694 Pe En= 4.3 Num Pe= 21569
Pi En= 4.4 Num Pi= 6638 Pe En= 4.4 Num Pe= 16499
Pi En= 4.5 Num Pi= 5859 Pe En= 4.5 Num Pe= 13002
Pi En= 4.6 Num Pi= 5287 Pe En= 4.6 Num Pe= 10574
Pi En= 4.7 Num Pi= 4836 Pe En= 4.7 Num Pe= 8807
Pi En= 4.8 Num Pi= 4468 Pe En= 4.8 Num Pe= 7541
Pi En= 4.9 Num Pi= 4196 Pe En= 4.9 Num Pe= 6610
Pi En= 5 Num Pi= 3918 Pe En= 5 Num Pe= 5852
Pi En= 5.1 Num Pi= 3693 Pe En= 5.1 Num Pe= 5278
Pi En= 5.2 Num Pi= 3511 Pe En= 5.2 Num Pe= 4830
Pi En= 5.3 Num Pi= 3338 Pe En= 5.3 Num Pe= 4444
Pi En= 5.4 Num Pi= 3193 Pe En= 5.4 Num Pe= 4134
Pi En= 5.5 Num Pi= 3059 Pe En= 5.5 Num Pe= 3851
Pi En= 5.6 Num Pi= 2930 Pe En= 5.6 Num Pe= 3613
$E_{Pi}$ & $R_{Pi}$ & $E_{Pe}$ & $R_{Pe}$
2.7 & 0.0828341 & 2.7 & 0.282325
2.8 & 0.0547944 & 2.8 & 0.21199
2.9 & 0.0354002 & 2.9 & 0.153517
3 & 0.0227949 & 3 & 0.108537
3.1 & 0.0147251 & 3.1 & 0.0756099
3.2 & 0.00952529 & 3.2 & 0.0518242
3.3 & 0.00622213 & 3.3 & 0.0352958
3.4 & 0.00406666 & 3.4 & 0.0237496
3.5 & 0.00273601 & 3.5 & 0.0159925
3.6 & 0.00188127 & 3.6 & 0.0108085
3.7 & 0.00133469 & 3.7 & 0.00728941
3.8 & 0.000980709 & 3.8 & 0.0049544
3.9 & 0.00074493 & 3.9 & 0.00341218
4 & 0.000581791 & 4 & 0.00238854
4.1 & 0.000464131 & 4.1 & 0.00168446
4.2 & 0.000381853 & 4.2 & 0.00121048
4.3 & 0.00032102 & 4.3 & 0.000899932
4.4 & 0.00027696 & 4.4 & 0.000688395
4.5 & 0.000244457 & 4.5 & 0.000542488
4.6 & 0.000220592 & 4.6 & 0.000441183
4.7 & 0.000201774 & 4.7 & 0.000367458
4.8 & 0.00018642 & 4.8 & 0.000314636
4.9 & 0.000175071 & 4.9 & 0.000275792
5 & 0.000163472 & 5 & 0.000244165
5.1 & 0.000154085 & 5.1 & 0.000220216
5.2 & 0.000146491 & 5.2 & 0.000201524
5.3 & 0.000139273 & 5.3 & 0.000185419
5.4 & 0.000133223 & 5.4 & 0.000172485
5.5 & 0.000127632 & 5.5 & 0.000160677
5.6 & 0.00012225 & 5.6 & 0.000150747
