livetime: 397.46 days rclean/rpi= 1.27141
Pi En= 2.7 Num Pi= 2555838 Pe En= 2.7 Num Pe= 6757384
Pi En= 2.8 Num Pi= 1741840 Pe En= 2.8 Num Pe= 5405264
Pi En= 2.9 Num Pi= 1134837 Pe En= 2.9 Num Pe= 4112226
Pi En= 3 Num Pi= 729454 Pe En= 3 Num Pe= 2976928
Pi En= 3.1 Num Pi= 471219 Pe En= 3.1 Num Pe= 2088092
Pi En= 3.2 Num Pi= 304630 Pe En= 3.2 Num Pe= 1438152
Pi En= 3.3 Num Pi= 199039 Pe En= 3.3 Num Pe= 985326
Pi En= 3.4 Num Pi= 131201 Pe En= 3.4 Num Pe= 666228
Pi En= 3.5 Num Pi= 89615 Pe En= 3.5 Num Pe= 451680
Pi En= 3.6 Num Pi= 62621 Pe En= 3.6 Num Pe= 311493
Pi En= 3.7 Num Pi= 45332 Pe En= 3.7 Num Pe= 215616
Pi En= 3.8 Num Pi= 34058 Pe En= 3.8 Num Pe= 150848
Pi En= 3.9 Num Pi= 26569 Pe En= 3.9 Num Pe= 107699
Pi En= 4 Num Pi= 21454 Pe En= 4 Num Pe= 78573
Pi En= 4.1 Num Pi= 17981 Pe En= 4.1 Num Pe= 58368
Pi En= 4.2 Num Pi= 15568 Pe En= 4.2 Num Pe= 44673
Pi En= 4.3 Num Pi= 13776 Pe En= 4.3 Num Pe= 35048
Pi En= 4.4 Num Pi= 12409 Pe En= 4.4 Num Pe= 27949
Pi En= 4.5 Num Pi= 11370 Pe En= 4.5 Num Pe= 22927
Pi En= 4.6 Num Pi= 10523 Pe En= 4.6 Num Pe= 19171
Pi En= 4.7 Num Pi= 9860 Pe En= 4.7 Num Pe= 16439
Pi En= 4.8 Num Pi= 9301 Pe En= 4.8 Num Pe= 14206
Pi En= 4.9 Num Pi= 8853 Pe En= 4.9 Num Pe= 12578
Pi En= 5 Num Pi= 8413 Pe En= 5 Num Pe= 11206
Pi En= 5.1 Num Pi= 8047 Pe En= 5.1 Num Pe= 10114
Pi En= 5.2 Num Pi= 7708 Pe En= 5.2 Num Pe= 9212
Pi En= 5.3 Num Pi= 7380 Pe En= 5.3 Num Pe= 8394
Pi En= 5.4 Num Pi= 7092 Pe En= 5.4 Num Pe= 7728
Pi En= 5.5 Num Pi= 6778 Pe En= 5.5 Num Pe= 7156
Pi En= 5.6 Num Pi= 6494 Pe En= 5.6 Num Pe= 6673
$E_{Pi}$ & $R_{Pi}$ & $E_{Pe}$ & $R_{Pe}$
2.7 & 0.0755867 & 2.7 & 0.199844
2.8 & 0.0515134 & 2.8 & 0.159856
2.9 & 0.0335618 & 2.9 & 0.121616
3 & 0.021573 & 3 & 0.0880401
3.1 & 0.0139359 & 3.1 & 0.0617535
3.2 & 0.00900917 & 3.2 & 0.0425321
3.3 & 0.00588641 & 3.3 & 0.0291402
3.4 & 0.00388016 & 3.4 & 0.0197031
3.5 & 0.00265029 & 3.5 & 0.013358
3.6 & 0.00185196 & 3.6 & 0.00921214
3.7 & 0.00134065 & 3.7 & 0.00637666
3.8 & 0.00100724 & 3.8 & 0.0044612
3.9 & 0.000785755 & 3.9 & 0.0031851
4 & 0.000634483 & 4 & 0.00232373
4.1 & 0.000531773 & 4.1 & 0.00172618
4.2 & 0.00046041 & 4.2 & 0.00132117
4.3 & 0.000407413 & 4.3 & 0.00103651
4.4 & 0.000366985 & 4.4 & 0.000826567
4.5 & 0.000336258 & 4.5 & 0.000678046
4.6 & 0.000311209 & 4.6 & 0.000566966
4.7 & 0.000291601 & 4.7 & 0.000486169
4.8 & 0.000275069 & 4.8 & 0.00042013
4.9 & 0.00026182 & 4.9 & 0.000371983
5 & 0.000248807 & 5 & 0.000331408
5.1 & 0.000237983 & 5.1 & 0.000299113
5.2 & 0.000227957 & 5.2 & 0.000272437
5.3 & 0.000218257 & 5.3 & 0.000248245
5.4 & 0.00020974 & 5.4 & 0.000228549
5.5 & 0.000200453 & 5.5 & 0.000211633
5.6 & 0.000192054 & 5.6 & 0.000197348
