161525 events in file 637 and 128357536 events total
livetime: 283.202 days rclean/rpi= 1.65064
Pi En= 3.211 Num Pi= 684600 Pe En= 3.211 Num Pe= 6742771
Pi En= 3.311 Num Pi= 423873 Pe En= 3.311 Num Pe= 5063045
Pi En= 3.411 Num Pi= 256365 Pe En= 3.411 Num Pe= 3666477
Pi En= 3.511 Num Pi= 154886 Pe En= 3.511 Num Pe= 2592232
Pi En= 3.611 Num Pi= 94039 Pe En= 3.611 Num Pe= 1805818
Pi En= 3.711 Num Pi= 57110 Pe En= 3.711 Num Pe= 1237696
Pi En= 3.811 Num Pi= 35495 Pe En= 3.811 Num Pe= 842894
Pi En= 3.911 Num Pi= 22278 Pe En= 3.911 Num Pe= 567149
Pi En= 4.011 Num Pi= 14764 Pe En= 4.011 Num Pe= 381922
Pi En= 4.111 Num Pi= 10247 Pe En= 4.111 Num Pe= 258101
Pi En= 4.211 Num Pi= 7652 Pe En= 4.211 Num Pe= 174051
Pi En= 4.311 Num Pi= 6093 Pe En= 4.311 Num Pe= 118294
Pi En= 4.411 Num Pi= 5116 Pe En= 4.411 Num Pe= 81447
Pi En= 4.511 Num Pi= 4510 Pe En= 4.511 Num Pe= 57007
Pi En= 4.611 Num Pi= 4025 Pe En= 4.611 Num Pe= 40188
Pi En= 4.711 Num Pi= 3711 Pe En= 4.711 Num Pe= 28869
Pi En= 4.811 Num Pi= 3493 Pe En= 4.811 Num Pe= 21448
Pi En= 4.911 Num Pi= 3320 Pe En= 4.911 Num Pe= 16402
Pi En= 5.011 Num Pi= 3183 Pe En= 5.011 Num Pe= 12927
Pi En= 5.111 Num Pi= 3062 Pe En= 5.111 Num Pe= 10508
Pi En= 5.211 Num Pi= 2958 Pe En= 5.211 Num Pe= 8748
Pi En= 5.311 Num Pi= 2862 Pe En= 5.311 Num Pe= 7491
Pi En= 5.411 Num Pi= 2768 Pe En= 5.411 Num Pe= 6565
Pi En= 5.511 Num Pi= 2666 Pe En= 5.511 Num Pe= 5812
Pi En= 5.611 Num Pi= 2569 Pe En= 5.611 Num Pe= 5240
Pi En= 5.711 Num Pi= 2487 Pe En= 5.711 Num Pe= 4794
Pi En= 5.811 Num Pi= 2393 Pe En= 5.811 Num Pe= 4411
Pi En= 5.911 Num Pi= 2305 Pe En= 5.911 Num Pe= 4106
Pi En= 6.011 Num Pi= 2224 Pe En= 6.011 Num Pe= 3825
Pi En= 6.111 Num Pi= 2143 Pe En= 6.111 Num Pe= 3587
$E_{Pi}$ & $R_{Pi}$ & $E_{Pe}$ & $R_{Pe}$
3.211 & 0.0285638 & 3.211 & 0.281331
3.311 & 0.0176854 & 3.311 & 0.211248
3.411 & 0.0106964 & 3.411 & 0.152978
3.511 & 0.00646237 & 3.511 & 0.108157
3.611 & 0.00392363 & 3.611 & 0.0753449
3.711 & 0.00238282 & 3.711 & 0.0516409
3.811 & 0.00148097 & 3.811 & 0.0351684
3.911 & 0.000929514 & 3.911 & 0.0236634
4.011 & 0.000616004 & 4.011 & 0.0159351
4.111 & 0.00042754 & 4.111 & 0.0107689
4.211 & 0.000319268 & 4.211 & 0.007262
4.311 & 0.000254221 & 4.311 & 0.00493563
4.411 & 0.000213457 & 4.411 & 0.00339825
4.511 & 0.000188173 & 4.511 & 0.00237853
4.611 & 0.000167937 & 4.611 & 0.00167678
4.711 & 0.000154836 & 4.711 & 0.00120451
4.811 & 0.00014574 & 4.811 & 0.000894884
4.911 & 0.000138522 & 4.911 & 0.000684347
5.011 & 0.000132806 & 5.011 & 0.000539359
5.111 & 0.000127757 & 5.111 & 0.00043843
5.211 & 0.000123418 & 5.211 & 0.000364996
5.311 & 0.000119412 & 5.311 & 0.00031255
5.411 & 0.00011549 & 5.411 & 0.000273914
5.511 & 0.000111235 & 5.511 & 0.000242496
5.611 & 0.000107187 & 5.611 & 0.000218631
5.711 & 0.000103766 & 5.711 & 0.000200022
5.811 & 9.98441e-05 & 5.811 & 0.000184042
5.911 & 9.61725e-05 & 5.911 & 0.000171316
6.011 & 9.27929e-05 & 6.011 & 0.000159592
6.111 & 8.94133e-05 & 6.111 & 0.000149662
