livetime: 397.46 days rclean/rpi= 1.65064
Pi En= 2.7 Num Pi= 1012789 Pe En= 2.7 Num Pe= 27033
Pi En= 2.8 Num Pi= 633732 Pe En= 2.8 Num Pe= 27033
Pi En= 2.9 Num Pi= 387376 Pe En= 2.9 Num Pe= 27033
Pi En= 3 Num Pi= 236672 Pe En= 3 Num Pe= 27033
Pi En= 3.1 Num Pi= 145580 Pe En= 3.1 Num Pe= 27033
Pi En= 3.2 Num Pi= 89790 Pe En= 3.2 Num Pe= 27033
Pi En= 3.3 Num Pi= 56433 Pe En= 3.3 Num Pe= 27033
Pi En= 3.4 Num Pi= 36430 Pe En= 3.4 Num Pe= 27033
Pi En= 3.5 Num Pi= 24804 Pe En= 3.5 Num Pe= 27033
Pi En= 3.6 Num Pi= 17882 Pe En= 3.6 Num Pe= 27033
Pi En= 3.7 Num Pi= 13731 Pe En= 3.7 Num Pe= 27033
Pi En= 3.8 Num Pi= 11168 Pe En= 3.8 Num Pe= 27033
Pi En= 3.9 Num Pi= 9613 Pe En= 3.9 Num Pe= 27033
Pi En= 4 Num Pi= 8551 Pe En= 4 Num Pe= 27033
Pi En= 4.1 Num Pi= 7902 Pe En= 4.1 Num Pe= 27033
Pi En= 4.2 Num Pi= 7436 Pe En= 4.2 Num Pe= 27033
Pi En= 4.3 Num Pi= 7112 Pe En= 4.3 Num Pe= 27033
Pi En= 4.4 Num Pi= 6831 Pe En= 4.4 Num Pe= 27033
Pi En= 4.5 Num Pi= 6604 Pe En= 4.5 Num Pe= 27033
Pi En= 4.6 Num Pi= 6401 Pe En= 4.6 Num Pe= 27033
Pi En= 4.7 Num Pi= 6213 Pe En= 4.7 Num Pe= 27033
Pi En= 4.8 Num Pi= 6028 Pe En= 4.8 Num Pe= 27033
Pi En= 4.9 Num Pi= 5854 Pe En= 4.9 Num Pe= 27033
Pi En= 5 Num Pi= 5667 Pe En= 5 Num Pe= 27033
Pi En= 5.1 Num Pi= 5510 Pe En= 5.1 Num Pe= 27033
Pi En= 5.2 Num Pi= 5322 Pe En= 5.2 Num Pe= 27033
Pi En= 5.3 Num Pi= 5139 Pe En= 5.3 Num Pe= 27033
Pi En= 5.4 Num Pi= 4979 Pe En= 5.4 Num Pe= 27033
Pi En= 5.5 Num Pi= 4801 Pe En= 5.5 Num Pe= 27033
Pi En= 5.6 Num Pi= 4600 Pe En= 5.6 Num Pe= 27033
$E_{Pi}$ & $R_{Pi}$ & $E_{Pe}$ & $R_{Pe}$
2.7 & 0.0299524 & 2.7 & 0.000799478
2.8 & 0.0187421 & 2.8 & 0.000799478
2.9 & 0.0114563 & 2.9 & 0.000799478
3 & 0.00699937 & 3 & 0.000799478
3.1 & 0.0043054 & 3.1 & 0.000799478
3.2 & 0.00265546 & 3.2 & 0.000799478
3.3 & 0.00166896 & 3.3 & 0.000799478
3.4 & 0.00107739 & 3.4 & 0.000799478
3.5 & 0.000733557 & 3.5 & 0.000799478
3.6 & 0.000528845 & 3.6 & 0.000799478
3.7 & 0.000406082 & 3.7 & 0.000799478
3.8 & 0.000330284 & 3.8 & 0.000799478
3.9 & 0.000284296 & 3.9 & 0.000799478
4 & 0.000252888 & 4 & 0.000799478
4.1 & 0.000233695 & 4.1 & 0.000799478
4.2 & 0.000219913 & 4.2 & 0.000799478
4.3 & 0.000210331 & 4.3 & 0.000799478
4.4 & 0.000202021 & 4.4 & 0.000799478
4.5 & 0.000195308 & 4.5 & 0.000799478
4.6 & 0.000189304 & 4.6 & 0.000799478
4.7 & 0.000183744 & 4.7 & 0.000799478
4.8 & 0.000178273 & 4.8 & 0.000799478
4.9 & 0.000173127 & 4.9 & 0.000799478
5 & 0.000167597 & 5 & 0.000799478
5.1 & 0.000162953 & 5.1 & 0.000799478
5.2 & 0.000157394 & 5.2 & 0.000799478
5.3 & 0.000151981 & 5.3 & 0.000799478
5.4 & 0.00014725 & 5.4 & 0.000799478
5.5 & 0.000141985 & 5.5 & 0.000799478
5.6 & 0.000136041 & 5.6 & 0.000799478
